year_month,plan,status,monthly_action,n_customers
2019-09,FORFETTARIO,Active,Still_Active,1194
2021-08,FORFETTARIO,Pending,New_Pending,1
2019-09,FORFETTARIO,Churned,Refunded,2
2019-01,FORFETTARIO,Active,New,174
2023-12,FORFETTARIO,Active,Renew_Same_Plan,768
2021-01,FORFETTARIO,Active,Still_Active,2780
2021-10,FORFETTARIO,Active,Pending_Activated,4
2023-06,SEMPLIFICATO,Active,Renew_Same_Plan,2
2020-08,FORFETTARIO,Churned,Expired,12
2024-03,FORFETTARIO,Churned,Still_Churned,8362
2021-03,SEMPLIFICATO,Active,Renew_Change_Plan,1
2019-02,SEMPLIFICATO,Active,Still_Active,1
2023-06,SEMPLIFICATO,Active,Resurrected,5
2020-09,FORFETTARIO,Active,Still_Active,2344
2022-10,FORFETTARIO,Churned,Expired,182
2021-12,FORFETTARIO,Active,Renew_Same_Plan,168
2023-09,FORFETTARIO,Pending,Still_Pending,1
2022-12,FORFETTARIO,Churned,Still_Churned,2801
2023-02,FORFETTARIO,Churned,Still_Churned,3355
2023-04,FORFETTARIO,Churned,Still_Churned,4022
2020-01,FORFETTARIO,Churned,Refunded,6
2022-05,FORFETTARIO,Active,New,949
2022-11,SEMPLIFICATO,Active,Renew_Same_Plan,3
2021-04,FORFETTARIO,Churned,Expired,84
2020-04,FORFETTARIO,Active,New,146
2022-05,SEMPLIFICATO,Active,Resurrected,1
2019-08,FORFETTARIO,Churned,Expired,6
2021-09,FORFETTARIO,Churned,Still_Churned,875
2023-11,SEMPLIFICATO,Active,Renew_Change_Plan,7
2019-05,SEMPLIFICATO,Active,New,1
2021-07,SEMPLIFICATO,Active,Still_Active,48
2023-12,FORFETTARIO,Active,New,487
2020-07,FORFETTARIO,Churned,Refunded,6
2023-06,SEMPLIFICATO,Churned,Still_Churned,37
2022-11,FORFETTARIO,Active,Resurrected,45
2022-05,FORFETTARIO,Churned,Expired,157
2024-04,FORFETTARIO,Pending,New_Pending,1
2024-02,SEMPLIFICATO,Active,New,24
2024-05,FORFETTARIO,Active,Resurrected,90
2024-02,SEMPLIFICATO,Active,Renew_Change_Plan,14
2021-10,SEMPLIFICATO,Active,Renew_Change_Plan,2
2023-03,FORFETTARIO,Active,Pending_Activated,1
2019-03,FORFETTARIO,Churned,Expired,3
2024-06,FORFETTARIO,Active,Resurrected,101
2022-01,FORFETTARIO,Active,New,1556
2020-10,FORFETTARIO,Churned,Expired,44
2023-09,SEMPLIFICATO,Active,Still_Active,227
2021-09,FORFETTARIO,Churned,Expired,74
2022-12,SEMPLIFICATO,Active,Renew_Same_Plan,4
2021-03,FORFETTARIO,Active,Still_Active,3725
2023-07,FORFETTARIO,Churned,Still_Churned,4955
2023-10,FORFETTARIO,Active,Renew_Same_Plan,897
2021-02,FORFETTARIO,Churned,Expired,35
2023-12,FORFETTARIO,Churned,Refunded,40
2023-04,FORFETTARIO,Churned,Expired,306
2021-06,FORFETTARIO,Active,Still_Active,4675
2019-03,FORFETTARIO,Churned,Still_Churned,1
2022-02,FORFETTARIO,Active,Renew_Same_Plan,391
2023-07,FORFETTARIO,Churned,Refunded,33
2021-02,FORFETTARIO,Churned,Still_Churned,484
2022-04,SEMPLIFICATO,Churned,Still_Churned,13
2022-11,SEMPLIFICATO,Churned,Still_Churned,21
2020-07,FORFETTARIO,Active,Still_Active,2161
2019-08,FORFETTARIO,Churned,Refunded,3
2024-07,SEMPLIFICATO,Churned,Still_Churned,114
2023-03,SEMPLIFICATO,Active,New,12
2019-10,SEMPLIFICATO,Active,Still_Active,4
2020-02,FORFETTARIO,Active,Renew_Same_Plan,108
2023-12,SEMPLIFICATO,Active,Renew_Change_Plan,9
2018-10,FORFETTARIO,Active,New,62
2022-08,SEMPLIFICATO,Active,Still_Active,92
2020-09,SEMPLIFICATO,Active,Renew_Change_Plan,2
2019-08,FORFETTARIO,Active,New,55
2023-12,FORFETTARIO,Active,Resurrected,110
2023-06,SEMPLIFICATO,Churned,Expired,2
2022-01,SEMPLIFICATO,Churned,Expired,1
2021-04,FORFETTARIO,Active,Renew_Same_Plan,191
2020-05,FORFETTARIO,Active,Renew_Same_Plan,88
2022-06,FORFETTARIO,Active,Renew_Change_Plan,1
2023-08,FORFETTARIO,Active,New,699
2024-07,SEMPLIFICATO,Active,Renew_Change_Plan,16
2023-11,FORFETTARIO,Churned,Refunded,48
2021-05,SEMPLIFICATO,Active,Still_Active,43
2020-12,FORFETTARIO,Active,Renew_Same_Plan,88
2022-07,SEMPLIFICATO,Active,Renew_Same_Plan,4
2022-08,SEMPLIFICATO,Active,Renew_Same_Plan,3
2024-04,SEMPLIFICATO,Active,Resurrected,5
2021-05,SEMPLIFICATO,Churned,Refunded,1
2020-02,FORFETTARIO,Churned,Still_Churned,131
2021-01,FORFETTARIO,Active,Renew_Same_Plan,231
2022-04,FORFETTARIO,Active,Still_Active,9527
2023-06,SEMPLIFICATO,Active,Renew_Change_Plan,4
2021-01,FORFETTARIO,Churned,Refunded,5
2022-11,SEMPLIFICATO,Churned,Expired,1
2022-09,FORFETTARIO,Churned,Refunded,18
2023-05,FORFETTARIO,Churned,Refunded,61
2022-10,SEMPLIFICATO,Churned,Expired,3
2021-06,FORFETTARIO,Active,Renew_Same_Plan,181
2024-05,FORFETTARIO,Active,Renew_Same_Plan,1557
2022-01,SEMPLIFICATO,Churned,Refunded,1
2023-07,SEMPLIFICATO,Churned,Refunded,1
2022-03,FORFETTARIO,Active,Renew_Same_Plan,393
2023-03,FORFETTARIO,Pending,New_Pending,1
2024-07,FORFETTARIO,Active,Renew_Same_Plan,1319
2023-08,FORFETTARIO,Active,Resurrected,46
2023-09,FORFETTARIO,Active,Renew_Change_Plan,1
2019-03,FORFETTARIO,Active,Renew_Same_Plan,26
2019-10,FORFETTARIO,Churned,Still_Churned,70
2021-04,FORFETTARIO,Churned,Still_Churned,562
2024-02,FORFETTARIO,Pending,New_Pending,1
2023-07,FORFETTARIO,Active,Renew_Same_Plan,887
2019-04,FORFETTARIO,Active,Still_Active,876
2022-03,FORFETTARIO,Active,New,911
2022-02,SEMPLIFICATO,Churned,Refunded,1
2019-01,FORFETTARIO,Active,Renew_Same_Plan,18
2021-06,FORFETTARIO,Churned,Expired,60
2024-04,FORFETTARIO,Active,Renew_Same_Plan,1304
2022-09,FORFETTARIO,Active,Renew_Change_Plan,1
2018-06,FORFETTARIO,Active,Still_Active,128
2023-09,SEMPLIFICATO,Active,Renew_Change_Plan,7
2022-01,FORFETTARIO,Churned,Refunded,31
2022-11,SEMPLIFICATO,Active,Resurrected,2
2023-09,FORFETTARIO,Churned,Expired,421
2021-01,FORFETTARIO,Churned,Expired,45
2024-01,FORFETTARIO,Churned,Still_Churned,6708
2019-09,FORFETTARIO,Churned,Still_Churned,54
2024-08,SEMPLIFICATO,Active,New,5
2022-08,FORFETTARIO,Churned,Refunded,14
2023-06,FORFETTARIO,Churned,Still_Churned,4610
2020-07,SEMPLIFICATO,Active,Still_Active,14
2022-12,FORFETTARIO,Active,New,614
2021-02,SEMPLIFICATO,Churned,Expired,2
2020-01,FORFETTARIO,Churned,Expired,25
2021-09,FORFETTARIO,Active,Still_Active,5308
2019-11,FORFETTARIO,Active,New,114
2021-02,FORFETTARIO,Active,Still_Active,3427
2020-07,FORFETTARIO,Churned,Still_Churned,262
2024-08,FORFETTARIO,Churned,Expired,1232
2020-11,FORFETTARIO,Active,Resurrected,15
